index,engine,clean_text,clean_ocr,baseline_ocr,generated_ocr,image_path,source,has_reference,baseline_cer,baseline_wer,baseline_exact_match,generated_cer,generated_wer,generated_exact_match,clean_ocr_cer,clean_ocr_wer,clean_ocr_exact_match,generated_cer_delta,generated_wer_delta,attack_success
0,trocr,only,TOTAL:,TOTAL AMOUNT,SALAY,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,2.5,2.0,False,0.75,1.0,False,1.0,1.0,False,-1.75,-1.0,False
0,easyocr,only,a Yonly M,H Voulk M,A Mamlh M,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.75,3.0,False,2.0,3.0,False,1.25,3.0,False,0.25,0.0,True
0,tesseract,only,Bh,Bh,Bh,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,0.0,0.0,False
0,ocrspace,only,,,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,0.0,0.0,False
1,trocr,the,TAX,TAX,TAX,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,0.6666666666666666,1.0,False,0.6666666666666666,1.0,False,0.6666666666666666,1.0,False,0.0,0.0,False
1,easyocr,the,t? tla 3E14 EmT,7 L 7r2 @ha,Utt tba 53 IYE,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,3.3333333333333335,4.0,False,4.0,4.0,False,4.333333333333333,4.0,False,0.6666666666666665,0.0,True
1,tesseract,the,tie,ae,"t PT Dn. 3 < 2 """,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,0.6666666666666666,1.0,False,5.0,7.0,False,0.3333333333333333,1.0,False,4.333333333333333,6.0,True
1,ocrspace,the,the,the,the,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False
2,trocr,NOS,SALES!,SALES,"SALES,",/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,1.3333333333333333,1.0,False,1.6666666666666667,1.0,False,1.6666666666666667,1.0,False,0.3333333333333335,0.0,True
2,easyocr,NOS,Ny NOS Jn,Gy Nos Jn,ey NS Jn,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,2.0,2.0,False,2.3333333333333335,3.0,False,2.0,2.0,False,0.3333333333333335,1.0,True
2,tesseract,NOS,"sho,","shoo,","sho,",/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,1.3333333333333333,1.0,False,1.0,1.0,False,1.0,1.0,False,-0.33333333333333326,0.0,False
2,ocrspace,NOS,,LOS,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,0.3333333333333333,1.0,False,1.0,1.0,False,1.0,1.0,False,0.6666666666666667,0.0,True
